date,city,temperature
2012-07-13,Austin,81.4
2012-07-14,New York,79.3
2012-07-14,San Francisco,54
2012-07-14,Austin,80.2
2012-07-15,New York,78.9
2012-07-15,San Francisco,54
2012-07-15,Austin,81.8
2012-07-16,New York,79.6
2012-07-16,San Francisco,54.5
2012-07-16,Austin,77.3
2012-07-17,New York,83.3
2012-07-17,San Francisco,56.7
2012-07-17,Austin,80.8
2012-07-18,New York,84.3
2012-07-18,San Francisco,57.5
2012-07-18,Austin,81.6
2012-07-19,New York,75.1
2012-07-19,San Francisco,57.1
2012-07-19,Austin,80.9
2012-07-20,New York,68.4
2012-07-20,San Francisco,58.1
2012-07-20,Austin,83.9
2012-07-21,New York,68.4
2012-07-21,San Francisco,57.6
2012-07-21,Austin,85.6
2012-07-22,New York,72.2
2012-07-22,San Francisco,56
2012-07-22,Austin,83.6
2012-07-23,New York,75.6
2012-07-23,San Francisco,56.6
2012-07-23,Austin,84
2012-07-24,New York,82.6
2012-07-24,San Francisco,57.8
2012-07-24,Austin,83
2012-07-25,New York,78.4
2012-07-25,San Francisco,57.5
2012-07-25,Austin,84.8
2012-07-26,New York,77
2012-07-26,San Francisco,56.4
2012-07-26,Austin,84.4
2012-07-27,New York,79.4
2012-07-27,San Francisco,55.3
2012-07-27,Austin,84.3
2012-07-28,New York,77.4
2012-07-28,San Francisco,55
2012-07-28,Austin,83.9
2012-07-29,New York,72.5
2012-07-29,San Francisco,55.6
2012-07-29,Austin,85
2012-07-30,New York,72.9
2012-07-30,San Francisco,55.6
2012-07-30,Austin,84.9
2012-07-31,New York,73.6
2012-07-31,San Francisco,55.9
2012-07-31,Austin,86.3
2012-08-01,New York,75
2012-08-01,San Francisco,55.4
2012-08-01,Austin,86.5
2012-08-02,New York,77.7
2012-08-02,San Francisco,54.4
2012-08-02,Austin,85.8
2012-08-03,New York,79.7
2012-08-03,San Francisco,53.7
